country,death
EU,1321593
Belgium,27237
Bulgaria,17957
Czechia,26862
Denmark,15403
Germany,226662
Estonia,3856
Ireland,8847
Greece,29669
Spain,107083
France,162045
Croatia,14024
Italy,169835
Cyprus,1337
Latvia,5876
Lithuania,8294
Luxembourg,1057
Hungary,32772
Malta,917
Netherlands,44,321
Austria,20404
Poland,100676
Portugal,26489
Romania,51075
Slovenia,6,228
Slovakia,13,690
Finland,12161
Sweden,22405
United Kingdom,164,411
Iceland,597
Liechtenstein,62
Norway,10766
Switzerland,17297
Serbia,21394
Turkey,76581
